2017/02/21 14:52:02 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2017/02/21 14:52:02 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 10 ramp-up 0 perThread 0.0 delayedStart=false 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-1 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-2 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-3 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-5 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-4 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-6 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-7 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-8 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-9 
2017/02/21 14:52:02 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/02/21 14:52:02 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/02/21 14:52:02 INFO  - jmeter.threads.JMeterThread: Thread started: UACP Visitors 1-10 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-9 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-9 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-9 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-2 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-2 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-2 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-6 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-3 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-6 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-3 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-6 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-3 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-10 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-10 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-10 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-1 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-1 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-1 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-4 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-4 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-4 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-5 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-5 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-5 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-7 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-7 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-7 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: UACP Visitors 1-8 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread is done: UACP Visitors 1-8 
2017/02/21 14:52:04 INFO  - jmeter.threads.JMeterThread: Thread finished: UACP Visitors 1-8 
2017/02/21 14:52:04 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/02/21 14:52:04 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
